發生時間,處理別,肇事地點,座標-X,座標-Y
2021/1/3 12:42,2,大安區安和路1段127巷與安和路1段口,121.5525894,25.03465546
2021/1/3 12:55,2,大同區南京西路426號,121.5091948,25.05330686
2021/1/3 13:08,2,信義區莊敬路與吳興街345巷口,121.5664659,25.02720006
2021/1/3 13:11,2,萬華區青年路54號,121.5033571,25.02487549
2021/1/3 13:15,2,中山區新生北路2段28巷與新生北路2段口迴轉道,121.5273513,25.05381436
2021/1/3 13:24,2,士林區延平北路6段與通河西街2段口,121.4976663,25.09430714
2021/1/3 13:35,2,大安區復興南路2段與瑞安街23巷口,121.5436851,25.0311225
2021/1/3 13:38,2,士林區天母西路與天母北路38巷口,121.5261222,25.11844917
2021/1/3 13:52,2,大同區通河西街1段,121.5159506,25.0784308
2021/1/3 13:58,2,大安區忠孝東路4段48號前,121.5448314,25.04153783
2021/1/3 14:20,2,內湖區新明路與新明路475巷口,121.5798205,25.05456465
2021/1/3 15:21,2,信義區信義路6段與松山路口口,121.5784409,25.03625472
2021/1/3 15:28,2,中山區中山北路1段與長安東路1段口,121.521795,25.04984982
2021/1/3 15:41,2,內湖區內湖路2段179巷與金龍隧道口口,121.5851559,25.08432806
2021/1/3 16:03,2,內湖區新湖二路與新湖一路128巷口口,121.57635,25.061077
2021/1/3 16:05,2,文山區萬芳路111號對面,121.5617086,24.99718688
2021/1/3 16:17,2,萬華區環河南路1段與長沙街2段口,121.4995828,25.04150835
2021/1/3 16:20,2,士林區愛富一街與愛富二街口,121.5454883,25.13894149
2021/1/3 16:25,2,文山區景美河濱公園(福和015燈桿),121.5354033,25.0043711
2021/1/3 16:44,2,內湖區康湖路與康寧路3段75巷207弄口,121.6137194,25.0779552
2021/1/3 16:45,2,文山區木柵路1段與木柵路1段89巷口,121.5472599,24.98693398
2021/1/3 16:58,2,松山區敦化北路4巷與南京東路3段256巷口,121.5446936,25.05020911
2021/1/3 17:05,2,信義區嘉興街225號與嘉興街口,121.5561294,25.02557126
2021/1/3 17:25,2,中山區民權西路與天祥路口,121.52084,25.06295373
2021/1/3 18:30,2,士林區社子街22巷與社子街52巷口,121.507316,25.08701021
2021/1/3 18:40,2,內湖區成功交流道,121.590278,25.06505906
2021/1/3 19:18,2,大安區市民大道4段263號燈桿前,121.5543284,25.04434116
2021/1/3 19:23,2,文山區景華街與景華街49巷口,121.5428866,24.99501429
2021/1/3 19:38,2,大同區長安西路78巷與長安西路口,121.5193121,25.05037218
2021/1/3 20:17,2,中正區中山南路與信義路1段口,121.5176891,25.03861055
2021/1/3 20:50,2,中山區中山北路2段與民生東路1段口,121.5228641,25.05781881
2021/1/3 21:10,2,文山區木柵路2段與興隆路4段口,121.5600815,24.98878623
2021/1/3 21:58,2,文山區木柵路4段與萬芳交流道口,121.5768544,25.00010919
2021/1/3 22:16,2,士林區中正路與士商路口,121.5187133,25.0923814
2021/1/3 22:20,2,信義區市民大道5段與光復南路口,121.5578104,25.04500215
2021/1/3 22:30,2,內湖區成功路4段182巷與內湖路2段口,121.5934222,25.08448176
2021/1/3 22:30,2,中山區復興北路420號,121.5438287,25.06243009
2021/1/3 22:30,2,內湖區康寧路1段與金湖路口口,121.5995634,25.07900184
2021/1/3 22:45,2,士林區文林路與文林路594巷口,121.5237377,25.09844007
2021/1/4 00:03,2,中山區長春路110號,121.5282768,25.05489516
2021/1/4 01:05,2,大同區長安西路與西寧北路口,121.5086664,25.05199561
2021/1/4 01:10,2,大同區貴德街46巷與環河北路1段口,121.5079642,25.05526219
2021/1/4 04:11,2,萬華區漢中街與武昌街2段口,121.5075245,25.0445897
2021/1/4 04:30,2,萬華區中華路1段180號,121.5071669,25.03903607
2021/1/4 05:47,2,信義區基隆路車行地下道往南入口處,121.5657609,25.04327275
2021/1/4 05:50,2,中正區重慶南路1段與漢口街1段口口,121.5132308,25.04517052
2021/1/4 06:20,2,信義區一號道路,121.5620013,25.03729302
2021/1/4 06:50,2,文山區辛亥路7段與光輝路21巷口,121.5538115,24.9855077
2021/1/4 06:51,2,北投區大業路與中央北路2段口,121.4972274,25.1360308
2021/1/4 06:54,2,萬華區昆明街271號,121.503672,25.03716058
2021/1/4 06:57,2,中正區臨沂街33巷24號,121.5310625,25.03967326
2021/1/4 07:22,2,文山區興隆路2段220巷63號,121.551263,24.99956077
