"統計期","行政區別","機動車輛登記數/總計","機動車輛登記數/汽車/合計","機動車輛登記數/汽車/大型車自用","機動車輛登記數/汽車/大型車營業用","機動車輛登記數/汽車/小型車自用","機動車輛登記數/汽車/小型車營業用","機動車輛登記數/汽車/特種車","機動車輛登記數/機車","每千人持有汽車數","每千人持有機車數"
"108年 1月底","總計",1758801,814659,3990,11103,647935,142699,8932,944142,305,354
"108年 1月底","松山區",130529,70740,392,997,50887,18160,304,59789,344,291
"108年 1月底","信義區",140179,62776,313,420,50755,9214,2074,77403,281,347
"108年 1月底","大安區",181206,107500,493,373,72571,33270,793,73706,348,239
"108年 1月底","中山區",183155,104576,979,2729,65428,34418,1022,78579,456,343
"108年 1月底","中正區",110860,53980,330,2651,39221,9406,2372,56880,340,358
"108年 1月底","大同區",88676,33913,155,325,30459,2826,148,54763,266,429
"108年 1月底","萬華區",126446,39496,154,78,36259,2797,208,86950,209,459
"108年 1月底","文山區",162704,66261,135,213,63290,2015,608,96443,242,352
"108年 1月底","南港區",85209,36925,163,160,30571,5895,136,48284,304,397
"108年 1月底","內湖區",204328,103006,450,1549,80975,19631,401,101322,358,352
"108年 1月底","士林區",181627,72874,259,1372,68198,2688,357,108753,255,380
"108年 1月底","北投區",163882,62612,167,236,59321,2379,509,101270,245,397
"108年 2月底","總計",1757990,813582,3983,11084,647063,142540,8912,944408,305,354
"108年 2月底","松山區",130543,70697,393,1004,50846,18149,305,59846,344,291
"108年 2月底","信義區",140061,62660,309,418,50665,9198,2070,77401,281,347
"108年 2月底","大安區",181101,107358,496,373,72485,33211,793,73743,348,239
"108年 2月底","中山區",183076,104443,968,2714,65366,34374,1021,78633,456,343
"108年 2月底","中正區",110840,53911,331,2652,39177,9377,2374,56929,339,358
"108年 2月底","大同區",88556,33863,155,324,30391,2845,148,54693,265,429
"108年 2月底","萬華區",126265,39397,155,78,36158,2801,205,86868,208,459
"108年 2月底","文山區",162721,66205,134,204,63251,2012,604,96516,242,353
"108年 2月底","南港區",85111,36840,163,155,30519,5868,135,48271,304,398
"108年 2月底","內湖區",204366,102962,449,1556,80922,19632,403,101404,358,353
"108年 2月底","士林區",181491,72761,263,1370,68089,2680,359,108730,254,380
"108年 2月底","北投區",163859,62485,167,236,59194,2393,495,101374,245,397
"108年 3月底","總計",1757671,813139,4013,11088,646523,142638,8877,944532,305,355
"108年 3月底","松山區",130378,70590,391,993,50832,18071,303,59788,343,291
"108年 3月底","信義區",139978,62617,307,418,50600,9222,2070,77361,281,347
"108年 3月底","大安區",181126,107425,507,371,72357,33395,795,73701,348,239
"108年 3月底","中山區",183340,104406,982,2703,65352,34381,988,78934,456,345
"108年 3月底","中正區",110796,53845,336,2659,39137,9330,2383,56951,339,359
"108年 3月底","大同區",88417,33819,155,325,30345,2843,151,54598,265,428
"108年 3月底","萬華區",126209,39363,154,77,36133,2794,205,86846,208,460
"108年 3月底","文山區",162817,66198,133,207,63244,2017,597,96619,242,353
"108年 3月底","南港區",85007,36789,160,161,30496,5838,134,48218,304,398
"108年 3月底","內湖區",204318,102901,452,1547,80871,19635,396,101417,358,353
"108年 3月底","士林區",181449,72720,269,1388,68008,2694,361,108729,254,380
"108年 3月底","北投區",163836,62466,167,239,59148,2418,494,101370,245,398
"108年 4月底","總計",1757290,812367,4022,11102,646047,142327,8869,944923,305,355
"108年 4月底","松山區",130305,70459,396,990,50732,18038,303,59846,343,291
"108年 4月底","信義區",139737,62406,304,414,50490,9136,2062,77331,281,348
"108年 4月底","大安區",180956,107289,519,363,72297,33321,789,73667,348,239
"108年 4月底","中山區",183227,104316,978,2702,65251,34396,989,78911,456,345
"108年 4月底","中正區",110973,54008,334,2682,39334,9272,2386,56965,340,359
"108年 4月底","大同區",88358,33743,160,327,30310,2792,154,54615,265,429
"108年 4月底","萬華區",126119,39292,155,77,36052,2804,204,86827,208,460
"108年 4月底","文山區",162938,66197,134,205,63238,2023,597,96741,242,354
"108年 4月底","南港區",84951,36748,155,161,30444,5851,137,48203,304,398
"108年 4月底","內湖區",204254,102790,453,1553,80827,19555,402,101464,358,354
"108年 4月底","士林區",181478,72619,268,1382,67903,2704,362,108859,254,381
"108年 4月底","北投區",163994,62500,166,246,59169,2435,484,101494,245,399
"108年 5月底","總計",1758156,813056,4048,11120,646162,142862,8864,945100,306,355
"108年 5月底","松山區",130290,70463,400,994,50738,18024,307,59827,343,291
"108年 5月底","信義區",139729,62434,304,411,50503,9157,2059,77295,281,348
"108年 5月底","大安區",181164,107467,527,337,72342,33470,791,73697,348,239
"108年 5月底","中山區",183880,104884,984,2703,65270,34938,989,78996,459,346
"108年 5月底","中正區",110962,53931,335,2722,39303,9190,2381,57031,340,360
"108年 5月底","大同區",88303,33689,160,326,30259,2788,156,54614,265,430
"108年 5月底","萬華區",126102,39305,157,77,36060,2806,205,86797,209,461
"108年 5月底","文山區",162966,66187,138,203,63213,2028,605,96779,242,354
"108年 5月底","南港區",84905,36758,153,158,30477,5833,137,48147,304,398
"108年 5月底","內湖區",204452,102874,459,1556,80979,19474,406,101578,359,354
"108年 5月底","士林區",181349,72524,262,1384,67816,2700,362,108825,254,382
"108年 5月底","北投區",164054,62540,169,249,59202,2454,466,101514,246,399
"108年 6月底","總計",1759770,814450,4091,11118,646427,143907,8907,945320,306,356
"108年 6月底","松山區",130325,70501,402,989,50891,17905,314,59824,344,292
"108年 6月底","信義區",139743,62505,301,410,50542,9196,2056,77238,282,349
"108年 6月底","大安區",181323,107690,539,339,72401,33629,782,73633,349,239
"108年 6月底","中山區",184630,105647,1002,2696,65233,35694,1022,78983,463,346
"108年 6月底","中正區",110728,53717,341,2719,39142,9137,2378,57011,339,360
"108年 6月底","大同區",88280,33714,162,326,30250,2816,160,54566,265,429
"108年 6月底","萬華區",126198,39305,157,77,36058,2809,204,86893,209,462
"108年 6月底","文山區",163179,66294,140,203,63323,2018,610,96885,243,355
"108年 6月底","南港區",84924,36760,154,161,30459,5849,137,48164,304,398
"108年 6月底","內湖區",204885,103208,458,1566,81056,19719,409,101677,360,354
"108年 6月底","士林區",181411,72528,265,1377,67830,2687,369,108883,254,382
"108年 6月底","北投區",164144,62581,170,255,59242,2448,466,101563,246,400
"108年 7月底","總計",1759612,814942,4113,11077,646352,144297,9103,944670,307,356
"108年 7月底","松山區",130345,70349,410,994,50803,17829,313,59996,343,293
"108年 7月底","信義區",139475,62427,300,400,50489,9159,2079,77048,282,348
"108年 7月底","大安區",181390,107871,541,335,72334,33705,956,73519,350,238
"108年 7月底","中山區",185074,106168,1005,2695,65338,36116,1014,78906,465,346
"108年 7月底","中正區",110862,53662,350,2702,39146,9100,2364,57200,339,362
"108年 7月底","大同區",88122,33667,156,328,30185,2838,160,54455,266,430
"108年 7月底","萬華區",126022,39341,159,77,36077,2822,206,86681,209,461
"108年 7月底","文山區",163201,66352,140,201,63362,2025,624,96849,243,355
"108年 7月底","南港區",84867,36733,155,161,30445,5829,143,48134,304,399
"108年 7月底","內湖區",204885,103271,456,1552,81118,19732,413,101614,360,355
"108年 7月底","士林區",181237,72457,270,1375,67748,2699,365,108780,255,382
"108年 7月底","北投區",164132,62644,171,257,59307,2443,466,101488,247,400
"108年 8月底","總計",1757486,812907,4111,11038,645113,143698,8947,944579,307,356
"108年 8月底","松山區",130037,70065,417,989,50606,17737,316,59972,343,293
"108年 8月底","信義區",139300,62281,292,391,50358,9158,2082,77019,282,349
"108年 8月底","大安區",180780,107305,550,323,72144,33509,779,73475,348,238
"108年 8月底","中山區",184915,106039,998,2699,65207,36129,1006,78876,465,346
"108年 8月底","中正區",110880,53618,349,2698,39140,9028,2403,57262,339,362
"108年 8月底","大同區",87843,33554,157,328,30086,2825,158,54289,266,430
"108年 8月底","萬華區",125987,39281,158,76,36039,2802,206,86706,209,462
"108年 8月底","文山區",163124,66249,142,205,63279,2015,608,96875,243,356
"108年 8月底","南港區",84721,36581,155,163,30367,5755,141,48140,303,399
"108年 8月底","內湖區",204830,103175,456,1555,81122,19631,411,101655,360,355
"108年 8月底","士林區",181010,72251,267,1372,67564,2679,369,108759,254,383
"108年 8月底","北投區",164059,62508,170,239,59201,2430,468,101551,246,400
"108年 9月底","總計",1757427,812504,4146,11006,644678,143661,9013,944923,307,357
"108年 9月底","松山區",130010,70045,422,999,50563,17750,311,59965,343,294
"108年 9月底","信義區",139290,62287,291,389,50381,9138,2088,77003,282,349
"108年 9月底","大安區",180778,107342,546,331,72034,33584,847,73436,349,239
"108年 9月底","中山區",185480,105901,1001,2694,65101,36118,987,79579,465,349
"108年 9月底","中正區",110539,53524,368,2694,39092,8951,2419,57015,339,361
"108年 9月底","大同區",87805,33647,158,329,30037,2965,158,54158,267,429
"108年 9月底","萬華區",125954,39295,159,75,36058,2797,206,86659,210,462
"108年 9月底","文山區",163171,66195,141,198,63237,2007,612,96976,243,356
"108年 9月底","南港區",84582,36493,155,159,30361,5683,135,48089,303,399
"108年 9月底","內湖區",204941,103185,464,1525,81210,19571,415,101756,361,356
"108年 9月底","士林區",180954,72188,269,1371,67501,2680,367,108766,254,383
"108年 9月底","北投區",163923,62402,172,242,59103,2417,468,101521,246,401
"108年 10月底","總計",1758931,813465,4165,10985,645142,144168,9005,945466,307,357
"108年 10月底","松山區",130883,70139,423,1005,50642,17756,313,60744,344,298
"108年 10月底","信義區",139207,62303,292,386,50354,9182,2089,76904,283,349
"108年 10月底","大安區",180572,107224,548,335,72035,33538,768,73348,349,238
"108年 10月底","中山區",186548,106481,1000,2688,65192,36577,1024,80067,468,352
"108年 10月底","中正區",110492,53594,368,2694,39169,8912,2451,56898,340,361
"108年 10月底","大同區",87783,33722,159,329,30065,3015,154,54061,267,429
"108年 10月底","萬華區",125882,39307,160,74,36070,2796,207,86575,210,462
"108年 10月底","文山區",163176,66187,141,202,63233,2002,609,96989,243,357
"108年 10月底","南港區",84597,36546,157,160,30405,5696,128,48051,304,399
"108年 10月底","內湖區",204966,103257,470,1509,81227,19627,424,101709,361,356
"108年 10月底","士林區",180793,72195,275,1361,67514,2677,368,108598,254,383
"108年 10月底","北投區",164032,62510,172,242,59236,2390,470,101522,247,401
"108年 11月底","總計",1764466,814665,4163,10946,645495,145119,8942,949801,308,359
"108年 11月底","松山區",133208,70437,419,990,50704,18016,308,62771,345,308
"108年 11月底","信義區",139537,62578,292,387,50378,9440,2081,76959,284,349
"108年 11月底","大安區",180647,107339,544,332,72159,33536,768,73308,349,238
"108年 11月底","中山區",188544,106516,991,2664,65186,36705,970,82028,468,361
"108年 11月底","中正區",110766,53869,383,2695,39205,9145,2441,56897,341,360
"108年 11月底","大同區",87765,33680,157,329,30027,3012,155,54085,267,429
"108年 11月底","萬華區",125944,39361,158,74,36079,2842,208,86583,210,462
"108年 11月底","文山區",163332,66274,141,202,63323,2003,605,97058,244,357
"108年 11月底","南港區",84684,36646,156,163,30398,5800,129,48038,305,399
"108年 11月底","內湖區",205244,103432,476,1511,81281,19724,440,101812,362,356
"108年 11月底","士林區",180734,72123,275,1359,67476,2645,368,108611,254,383
"108年 11月底","北投區",164061,62410,171,240,59279,2251,469,101651,246,401
"108年 12月底","總計",1767624,815569,4152,10929,645504,146027,8957,952055,308,360
"108年 12月底","松山區",134617,70552,419,976,50687,18163,307,64065,346,314
"108年 12月底","信義區",139702,62686,287,385,50344,9590,2080,77016,285,350
"108年 12月底","大安區",180899,107644,550,329,72183,33798,784,73255,350,238
"108年 12月底","中山區",189252,106433,982,2516,65067,36881,987,82819,468,364
"108年 12月底","中正區",110519,53918,378,2691,39275,9171,2403,56601,341,358
"108年 12月底","大同區",87660,33595,158,326,29948,3006,157,54065,267,429
"108年 12月底","萬華區",125921,39348,157,71,36022,2889,209,86573,210,463
"108年 12月底","文山區",163513,66300,140,203,63313,2039,605,97213,244,358
"108年 12月底","南港區",84922,36837,150,164,30461,5932,130,48085,306,400
"108年 12月底","內湖區",205672,103758,488,1671,81395,19754,450,101914,363,357
"108年 12月底","士林區",180782,72106,273,1358,67473,2631,371,108676,254,383
"108年 12月底","北投區",164165,62392,170,239,59336,2173,474,101773,246,402
"109年 1月底","總計",1766216,815137,4142,10907,645210,145931,8947,951079,308,360
"109年 1月底","松山區",134675,70651,420,978,50695,18255,303,64024,346,314
"109年 1月底","信義區",139364,62552,285,373,50263,9559,2072,76812,285,350
"109年 1月底","大安區",180778,107601,546,317,72147,33805,786,73177,350,238
"109年 1月底","中山區",189556,106471,974,2486,65084,36934,993,83085,468,366
"109年 1月底","中正區",110081,53803,377,2693,39249,9092,2392,56278,341,357
"109年 1月底","大同區",87409,33494,158,321,29896,2962,157,53915,266,428
"109年 1月底","萬華區",125850,39375,159,72,35997,2939,208,86475,211,463
"109年 1月底","文山區",163517,66332,140,209,63343,2038,602,97185,244,358
"109年 1月底","南港區",84683,36653,151,166,30459,5747,130,48030,305,400
"109年 1月底","內湖區",205801,103912,487,1686,81449,19836,454,101889,364,357
"109年 1月底","士林區",180537,72047,274,1365,67419,2617,372,108490,254,383
"109年 1月底","北投區",163965,62246,171,241,59209,2147,478,101719,246,402
"109年 2月底","總計",1765812,814868,4130,10907,644882,146039,8910,950944,309,360
"109年 2月底","松山區",134553,70572,418,973,50616,18264,301,63981,347,314
"109年 2月底","信義區",139348,62561,282,369,50236,9601,2073,76787,285,350
"109年 2月底","大安區",180735,107541,544,324,72068,33836,769,73194,350,238
"109年 2月底","中山區",189635,106627,978,2490,65058,37101,1000,83008,470,366
"109年 2月底","中正區",109911,53661,353,2684,39229,9013,2382,56250,341,357
"109年 2月底","大同區",87309,33473,154,325,29902,2933,159,53836,266,428
"109年 2月底","萬華區",125819,39391,160,72,35983,2969,207,86428,211,464
"109年 2月底","文山區",163557,66346,139,206,63366,2038,597,97211,245,358
"109年 2月底","南港區",84713,36633,152,166,30469,5720,126,48080,305,401
"109年 2月底","內湖區",205835,103944,495,1691,81416,19896,446,101891,364,357
"109年 2月底","士林區",180373,71911,281,1365,67340,2554,371,108462,254,384
"109年 2月底","北投區",164024,62208,174,242,59199,2114,479,101816,246,402
"109年 3月底","總計",1765129,814753,4108,10925,644578,146245,8897,950376,309,361
"109年 3月底","松山區",134473,70543,419,971,50568,18283,302,63930,347,314
"109年 3月底","信義區",139158,62457,279,376,50244,9496,2062,76701,285,351
"109年 3月底","大安區",180920,107758,542,315,72095,34040,766,73162,351,239
"109年 3月底","中山區",189740,106857,964,2489,65101,37308,995,82883,472,366
"109年 3月底","中正區",109916,53708,355,2707,39208,9059,2379,56208,341,357
"109年 3月底","大同區",87153,33425,151,328,29837,2948,161,53728,266,428
"109年 3月底","萬華區",125704,39346,159,71,35970,2938,208,86358,212,464
"109年 3月底","文山區",163528,66295,138,204,63330,2039,584,97233,245,359
"109年 3月底","南港區",84531,36457,152,169,30474,5529,133,48074,304,401
"109年 3月底","內湖區",205847,103982,497,1691,81289,20050,455,101865,365,357
"109年 3月底","士林區",180242,71804,280,1365,67276,2511,372,108438,254,384
"109年 3月底","北投區",163917,62121,172,239,59186,2044,480,101796,246,403
"109年 4月底","總計",1762345,813458,4089,10909,643521,145981,8958,948887,309,361
"109年 4月底","松山區",134081,70232,421,972,50401,18137,301,63849,346,315
"109年 4月底","信義區",138911,62263,282,371,50105,9436,2069,76648,285,351
"109年 4月底","大安區",180419,107577,540,310,72018,33947,762,72842,351,238
"109年 4月底","中山區",189637,106825,947,2491,64849,37535,1003,82812,472,366
"109年 4月底","中正區",109810,53768,351,2716,39229,9040,2432,56042,342,357
"109年 4月底","大同區",86888,33288,149,322,29698,2959,160,53600,266,428
"109年 4月底","萬華區",125398,39263,158,63,35904,2930,208,86135,211,464
"109年 4月底","文山區",163344,66219,138,203,63255,2035,588,97125,245,359
"109年 4月底","南港區",84456,36405,154,167,30494,5459,131,48051,304,401
"109年 4月底","內湖區",205693,103899,497,1694,81264,19992,452,101794,365,358
"109年 4月底","士林區",179992,71721,279,1368,67198,2505,371,108271,254,384
"109年 4月底","北投區",163716,61998,173,232,59106,2006,481,101718,246,403
"109年 5月底","總計",1761832,813600,4051,10898,643792,145879,8980,948232,310,361
"109年 5月底","松山區",133969,70111,424,972,50363,18054,298,63858,346,315
"109年 5月底","信義區",138699,62181,283,374,50100,9346,2078,76518,285,351
"109年 5月底","大安區",180325,107619,530,303,72092,33930,764,72706,352,238
"109年 5月底","中山區",189694,106877,937,2491,64851,37587,1011,82817,473,367
"109年 5月底","中正區",109724,53773,336,2733,39250,9030,2424,55951,343,357
"109年 5月底","大同區",86732,33249,150,305,29660,2973,161,53483,266,427
"109年 5月底","萬華區",125521,39468,157,65,36109,2929,208,86053,213,465
"109年 5月底","文山區",163429,66323,139,198,63349,2041,596,97106,246,359
"109年 5月底","南港區",84383,36381,155,165,30474,5456,131,48002,304,401
"109年 5月底","內湖區",205815,104024,495,1697,81306,20067,459,101791,366,358
"109年 5月底","士林區",179897,71628,271,1366,67153,2470,368,108269,255,385
"109年 5月底","北投區",163644,61966,174,229,59085,1996,482,101678,246,404
"109年 6月底","總計",1762421,814406,4041,10898,644044,146448,8975,948015,310,361
"109年 6月底","松山區",134069,70183,422,974,50348,18143,296,63886,347,316
"109年 6月底","信義區",138647,62196,279,376,50126,9310,2105,76451,286,351
"109年 6月底","大安區",180466,107762,533,306,72181,33983,759,72704,353,238
"109年 6月底","中山區",190159,107130,916,2467,64899,37844,1004,83029,475,368
"109年 6月底","中正區",109683,53753,330,2739,39270,9005,2409,55930,343,357
"109年 6月底","大同區",86658,33269,152,302,29671,2979,165,53389,266,427
"109年 6月底","萬華區",125162,39286,157,65,35928,2929,207,85876,212,464
"109年 6月底","文山區",163622,66434,139,199,63471,2030,595,97188,246,360
"109年 6月底","南港區",84489,36436,157,159,30516,5472,132,48053,304,401
"109年 6月底","內湖區",206053,104314,505,1699,81335,20324,451,101739,367,358
"109年 6月底","士林區",179889,71726,276,1381,67238,2461,370,108163,255,385
"109年 6月底","北投區",163524,61917,175,231,59061,1968,482,101607,246,404
"109年 7月底","總計",1762126,814247,4061,10830,643813,146573,8970,947879,311,362
"109年 7月底","松山區",133784,69894,428,957,50241,17974,294,63890,346,316
"109年 7月底","信義區",138543,62200,285,370,50152,9292,2101,76343,286,352
"109年 7月底","大安區",180510,107931,538,304,72206,34137,746,72579,354,238
"109年 7月底","中山區",190200,107095,908,2429,64851,37907,1000,83105,475,369
"109年 7月底","中正區",109833,53680,332,2722,39261,8969,2396,56153,343,359
"109年 7月底","大同區",86580,33188,151,302,29626,2940,169,53392,266,428
"109年 7月底","萬華區",124979,39243,160,65,35881,2929,208,85736,213,465
"109年 7月底","文山區",163642,66392,139,199,63409,2033,612,97250,246,361
"109年 7月底","南港區",84422,36408,157,156,30481,5481,133,48014,305,402
"109年 7月底","內湖區",206294,104558,505,1712,81411,20472,458,101736,368,358
"109年 7月底","士林區",179795,71789,282,1385,67260,2490,372,108006,256,385
"109年 7月底","北投區",163544,61869,176,229,59034,1949,481,101675,246,404
"109年 8月底","總計",1762170,814058,4067,10778,643477,146797,8939,948112,311,362
"109年 8月底","松山區",133850,69907,428,948,50226,18012,293,63943,347,317
"109年 8月底","信義區",138357,62067,283,360,50061,9276,2087,76290,286,352
"109年 8月底","大安區",180554,107960,543,303,72157,34214,743,72594,355,239
"109年 8月底","中山區",190224,107091,902,2403,64810,37979,997,83133,475,369
"109年 8月底","中正區",109724,53601,335,2723,39224,8917,2402,56123,344,360
"109年 8月底","大同區",86616,33180,152,304,29622,2933,169,53436,266,429
"109年 8月底","萬華區",124966,39230,162,64,35865,2931,208,85736,213,465
"109年 8月底","文山區",163639,66335,140,196,63362,2033,604,97304,246,362
"109年 8月底","南港區",84415,36448,153,154,30518,5489,134,47967,305,402
"109年 8月底","內湖區",206429,104635,510,1706,81380,20593,446,101794,369,359
"109年 8月底","士林區",179768,71758,286,1389,67219,2490,374,108010,256,386
"109年 8月底","北投區",163628,61846,173,228,59033,1930,482,101782,246,405
"109年 9月底","總計",1763577,814972,4056,10739,643714,147526,8937,948605,312,363
"109年 9月底","松山區",133910,69987,426,954,50236,18079,292,63923,348,318
"109年 9月底","信義區",138409,62073,281,357,50079,9286,2070,76336,287,353
"109年 9月底","大安區",181013,108360,538,296,72206,34583,737,72653,357,239
"109年 9月底","中山區",190747,107467,900,2386,64927,38264,990,83280,478,370
"109年 9月底","中正區",109447,53548,333,2722,39175,8873,2445,55899,344,359
"109年 9月底","大同區",86536,33117,152,300,29555,2941,169,53419,266,430
"109年 9月底","萬華區",125007,39258,163,68,35915,2925,187,85749,213,466
"109年 9月底","文山區",163863,66404,141,198,63432,2028,605,97459,247,363
"109年 9月底","南港區",84297,36353,153,151,30480,5432,137,47944,305,402
"109年 9月底","內湖區",206840,104834,511,1688,81475,20716,444,102006,370,360
"109年 9月底","士林區",179818,71783,286,1388,67239,2497,373,108035,257,386
"109年 9月底","北投區",163690,61788,172,231,58995,1902,488,101902,246,406
"109年 10月底","總計",1764703,816153,4065,10688,644252,148050,9098,948550,313,364
"109年 10月底","松山區",134044,70162,432,959,50352,18126,293,63882,349,318
"109年 10月底","信義區",138386,62002,278,353,50032,9258,2081,76384,287,354
"109年 10月底","大安區",181348,108680,538,291,72279,34711,861,72668,358,240
"109年 10月底","中山區",191081,107872,893,2361,64925,38707,986,83209,480,370
"109年 10月底","中正區",109236,53510,335,2704,39206,8816,2449,55726,344,358
"109年 10月底","大同區",86529,33112,152,300,29562,2930,168,53417,267,431
"109年 10月底","萬華區",124912,39280,166,65,35938,2926,185,85632,214,466
"109年 10月底","文山區",163974,66478,143,199,63496,2034,606,97496,247,363
"109年 10月底","南港區",84252,36302,154,149,30464,5395,140,47950,305,403
"109年 10月底","內湖區",207275,105145,517,1687,81695,20783,463,102130,372,361
"109年 10月底","士林區",179868,71793,286,1386,67260,2481,380,108075,257,387
"109年 10月底","北投區",163798,61817,171,234,59043,1883,486,101981,247,407
"109年 11月底","總計",1764781,816700,4080,10607,644437,148539,9037,948081,313,364
"109年 11月底","松山區",133992,70091,438,952,50330,18079,292,63901,350,319
"109年 11月底","信義區",138297,61989,279,351,50037,9242,2080,76308,287,354
"109年 11月底","大安區",181394,108809,541,290,72379,34799,800,72585,359,240
"109年 11月底","中山區",191336,108173,901,2293,64941,39044,994,83163,482,371
"109年 11月底","中正區",109178,53456,331,2697,39186,8786,2456,55722,344,359
"109年 11月底","大同區",86422,33043,152,298,29500,2923,170,53379,267,431
"109年 11月底","萬華區",124735,39239,164,67,35917,2907,184,85496,214,466
"109年 11月底","文山區",163987,66529,144,204,63544,2036,601,97458,248,363
"109年 11月底","南港區",84192,36294,154,147,30479,5376,138,47898,305,403
"109年 11月底","內湖區",207595,105443,519,1690,81762,21009,463,102152,373,361
"109年 11月底","士林區",179784,71775,281,1386,67251,2478,379,108009,257,387
"109年 11月底","北投區",163869,61859,176,232,59111,1860,480,102010,247,408
"109年 12月底","總計",1762194,815343,4063,10551,643004,148738,8987,946851,313,364
"109年 12月底","松山區",133563,69748,437,929,50201,17888,293,63815,348,319
"109年 12月底","信義區",138147,61923,278,341,49890,9335,2079,76224,288,354
"109年 12月底","大安區",180992,108619,536,288,72268,34803,724,72373,359,239
"109年 12月底","中山區",191316,108305,900,2273,64799,39343,990,83011,484,371
"109年 12月底","中正區",108970,53366,326,2703,39126,8725,2486,55604,343,358
"109年 12月底","大同區",86350,32973,153,299,29428,2927,166,53377,266,431
"109年 12月底","萬華區",124501,39187,164,67,35867,2904,185,85314,214,466
"109年 12月底","文山區",163648,66269,144,206,63286,2032,601,97379,247,363
"109年 12月底","南港區",84030,36215,155,148,30460,5310,142,47815,305,403
"109年 12月底","內湖區",207483,105317,519,1676,81524,21139,459,102166,373,362
"109年 12月底","士林區",179479,71641,279,1396,67107,2478,381,107838,257,387
"109年 12月底","北投區",163715,61780,172,225,59048,1854,481,101935,247,408
"110年 1月底","總計",1763886,816829,4080,10469,643635,149684,8961,947057,314,365
"110年 1月底","松山區",133623,69763,441,917,50247,17868,290,63860,349,319
"110年 1月底","信義區",138264,62056,277,334,49963,9390,2092,76208,289,355
"110年 1月底","大安區",181514,109167,544,285,72385,35241,712,72347,362,240
"110年 1月底","中山區",191628,108600,907,2226,64961,39515,991,83028,486,372
"110年 1月底","中正區",109128,53321,324,2679,39177,8681,2460,55807,343,359
"110年 1月底","大同區",86306,32978,152,295,29446,2921,164,53328,267,431
"110年 1月底","萬華區",124594,39180,165,68,35855,2907,185,85414,215,468
"110年 1月底","文山區",163833,66434,145,203,63453,2030,603,97399,248,364
"110年 1月底","南港區",83972,36222,155,155,30450,5321,141,47750,306,403
"110年 1月底","內湖區",207904,105714,519,1676,81578,21470,471,102190,375,362
"110年 1月底","士林區",179404,71576,279,1400,67045,2470,382,107828,258,388
"110年 1月底","北投區",163716,61818,172,231,59075,1870,470,101898,247,408
"110年 2月底","總計",1763361,817008,4095,10430,643644,149877,8962,946353,315,365
"110年 2月底","松山區",133616,69800,443,917,50246,17903,291,63816,350,320
"110年 2月底","信義區",138275,62129,280,334,49979,9436,2100,76146,290,356
"110年 2月底","大安區",181380,109121,545,289,72359,35217,711,72259,362,240
"110年 2月底","中山區",191516,108581,918,2204,64879,39600,980,82935,487,372
"110年 2月底","中正區",108974,53224,324,2671,39170,8604,2455,55750,343,360
"110年 2月底","大同區",86247,32985,150,294,29459,2918,164,53262,267,431
"110年 2月底","萬華區",124597,39200,165,68,35864,2916,187,85397,215,469
"110年 2月底","文山區",163886,66499,146,207,63505,2037,604,97387,249,364
"110年 2月底","南港區",83902,36227,156,151,30445,5332,143,47675,306,403
"110年 2月底","內湖區",207986,105864,519,1668,81633,21571,473,102122,376,363
"110年 2月底","士林區",179311,71569,279,1401,67039,2467,383,107742,258,389
"110年 2月底","北投區",163671,61809,170,226,59066,1876,471,101862,248,408
"110年 3月底","總計",1764790,818531,4091,10390,644013,151076,8961,946259,316,366
"110年 3月底","松山區",133887,70063,442,912,50392,18023,294,63824,352,321
"110年 3月底","信義區",138258,62152,287,334,49937,9491,2103,76106,291,357
"110年 3月底","大安區",181843,109605,548,291,72495,35561,710,72238,364,240
"110年 3月底","中山區",191863,108927,920,2183,64945,39891,988,82936,490,373
"110年 3月底","中正區",108968,53201,311,2666,39148,8619,2457,55767,344,360
"110年 3月底","大同區",86315,33007,150,293,29452,2951,161,53308,267,432
"110年 3月底","萬華區",124497,39183,164,67,35832,2931,189,85314,216,470
"110年 3月底","文山區",163833,66458,147,205,63468,2043,595,97375,249,365
"110年 3月底","南港區",84008,36323,156,154,30444,5426,143,47685,308,404
"110年 3月底","內湖區",208426,106282,520,1663,81747,21878,474,102144,378,363
"110年 3月底","士林區",179231,71525,279,1397,67079,2394,376,107706,259,389
"110年 3月底","北投區",163661,61805,167,225,59074,1868,471,101856,248,409
"110年 4月底","總計",1765197,819249,4102,10375,643750,152068,8954,945948,317,367
"110年 4月底","松山區",133940,70116,440,907,50410,18068,291,63824,353,321
"110年 4月底","信義區",138120,62100,292,334,49863,9507,2104,76020,292,358
"110年 4月底","大安區",182051,109871,557,295,72452,35862,705,72180,366,241
"110年 4月底","中山區",192052,109190,924,2149,64830,40294,993,82862,493,374
"110年 4月底","中正區",108984,53198,307,2688,39145,8602,2456,55786,344,361
"110年 4月底","大同區",86320,33082,150,288,29481,3002,161,53238,268,432
"110年 4月底","萬華區",124354,39126,162,65,35762,2947,190,85228,216,471
"110年 4月底","文山區",163881,66469,146,207,63473,2048,595,97412,249,366
"110年 4月底","南港區",83945,36330,157,153,30411,5469,140,47615,308,404
"110年 4月底","內湖區",208726,106483,520,1694,81778,22012,479,102243,379,364
"110年 4月底","士林區",179139,71469,283,1365,67058,2392,371,107670,259,390
"110年 4月底","北投區",163685,61815,164,230,59087,1865,469,101870,249,410
"110年 5月底","總計",1765323,819525,4075,10309,643598,152571,8972,945798,318,367
